playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
Manuel Fleitas Solich,2,2,1926-11-01,1,1,0,1
Domingo Tarasconi,13,5,1928-06-06,12,1,0,0
Juan Carlos Irurieta,1,1,1925-12-20,1,0,0,0
Antonio Cerroti,1,1,1925-12-25,1,0,0,0
Manuel Ramírez,3,2,1926-11-03,3,0,0,0
Guillermo Subiabre,7,5,1930-07-22,6,1,0,1
Humberto Moreno,1,1,1926-10-12,1,0,0,0
Teófilo Aguilar,1,1,1926-10-12,0,1,0,0
Roberto Cherro,8,5,1929-11-10,8,0,0,0
Benjamín Delgado,3,2,1926-10-20,3,0,0,0
Antonio de Miguel,2,2,1926-10-20,2,0,0,0
René Borjas,2,2,1926-10-24,0,2,0,0
Héctor Castro,13,10,1935-01-27,3,10,0,0
Carlos Soto,1,1,1926-10-23,1,0,0,0
Ceferino Ramírez,3,1,1926-10-23,0,3,0,0
Pablo Ramírez,1,1,1926-10-23,0,1,0,0
Guillermo Saavedra,2,2,1928-05-27,1,1,0,0
Zoilo Saldombide,2,1,1926-11-01,0,2,0,1
Luis Vargas Peña,2,2,1930-07-20,0,2,0,0
Segundo Luna,3,2,1927-11-20,3,0,0,0
Alfredo Carricaberry,3,2,1927-11-27,2,1,0,0
Humberto Recanatini,2,2,1927-11-20,2,0,0,2
Mario Alborta,1,1,1927-10-30,0,1,0,0
Daniel Ulloa,1,1,1927-11-01,0,1,1,0
Antonio Sacco,2,1,1927-11-01,0,2,0,0
Roberto Figueroa,4,2,1928-06-13,1,3,0,0
Juan Arremón,1,1,1927-11-06,0,1,0,0
José Bustamante,2,1,1927-11-13,0,2,0,0
Demetrio Neyra,1,1,1927-11-13,1,0,0,0
Jorge Sarmiento,1,1,1927-11-13,1,0,0,0
Alberto Montellanos,2,2,1935-01-26,2,0,0,0
Adhemar Canavesi,1,1,1927-11-20,1,0,1,0
Manuel Ferreira,11,7,1929-11-17,8,3,0,0
Alejandro Villanueva,2,2,1936-12-27,1,1,0,0
Juan Maglio,2,1,1927-11-27,0,2,0,0
Raymond Braine,4,3,1938-03-13,2,2,0,0
Louis Versijp,1,1,1928-05-27,1,0,0,0
Jacques Moeschal,3,2,1928-06-02,2,1,0,0
Guillaume Schutz,1,1,1928-05-27,0,1,0,0
Jean-Pierre Weisgerber,1,1,1928-05-27,0,1,0,0
Robert Theissen,1,1,1928-05-27,0,1,0,0
Alejandro Carbonell,1,1,1928-05-27,0,1,0,0
Vítor Silva,4,4,1934-03-18,3,1,0,0
Pepe Soares,2,1,1928-05-27,2,0,0,0
Valdemar Mota,1,1,1928-05-27,1,0,0,0
Ali El-Hassany,1,1,1928-05-28,1,0,0,1
Ali Mohamed Riad,4,3,1928-06-09,2,2,0,0
Mahmoud Mokhtar El-Tetsh,9,4,1934-04-06,7,2,0,0
Ismail El-Sayed Hooda,1,1,1928-05-28,1,0,0,0
Gamil El-Zobeir,1,1,1928-05-28,1,0,0,0
Richard Hofmann,4,2,1928-06-03,3,1,0,0
Josef Hornauer,1,1,1928-05-28,1,0,0,0
Raimondo Orsi,3,2,1928-06-02,3,0,0,0
Rudolph Kuntner,1,1,1928-05-29,0,1,0,0
Henry Carroll,1,1,1928-05-29,0,1,0,0
Juste Brouzes,2,1,1928-05-29,0,2,0,0
Gino Rossetti,1,1,1928-05-29,1,0,0,0
Virgilio Levratto,4,3,1928-06-07,3,1,0,0
Elvio Banchero,4,2,1928-06-09,4,0,0,0
Robert Dauphin,1,1,1928-05-29,0,1,0,0
Mirko Bonačić,1,1,1928-05-29,0,1,0,0
Augusto Silva,1,1,1928-05-29,1,0,0,0
Santos Urdinarán,1,1,1928-05-30,0,1,0,0
Luis Regueiro,5,3,1934-05-31,4,1,0,0
José Maria Yermo,4,2,1928-06-04,3,1,0,0
Martín Marculeta,1,1,1928-05-30,1,0,0,0
Ángel Mariscal,1,1,1928-05-30,1,0,0,0
Juan Carreño,2,2,1930-07-13,0,2,0,0
Domingo Zaldua,1,1,1928-06-01,0,1,0,0
Florimond Vanhalme,1,1,1928-06-02,0,1,0,0
Mario Magnozzi,4,2,1928-06-09,4,0,0,0
Angelo Schiavo,4,2,1928-06-09,4,0,0,0
Fulvio Bernardini,1,1,1928-06-04,1,0,0,0
Enrico Rivolta,1,1,1928-06-04,1,0,0,0
Ernesto Sota,1,1,1928-06-05,0,1,0,0
Leonardus Ghering,2,2,1928-06-08,2,0,0,0
Felix Smeets,2,2,1928-06-08,2,0,0,0
Wim Tap,1,1,1928-06-05,1,0,0,0
Pierre Braine,1,1,1928-06-05,0,1,0,0
Óscar Alfaro,1,1,1928-06-08,0,1,0,0
Moussa Hassan El-Ezam,1,1,1928-06-09,0,1,0,0
Luis Monti,3,3,1930-07-26,2,1,0,0
Arkādijs Pavlovs,2,2,1929-08-15,2,0,0,0
Alberts Vaters,2,1,1928-07-25,2,0,0,0
Arnold Pihlak,4,2,1929-08-16,4,0,0,1
Helmuth Räästas,1,1,1928-07-26,1,0,0,0
Artur Maurer,2,1,1928-07-26,2,0,0,0
Arnolds Tauriņš,2,2,1932-08-28,1,1,0,0
Voldemārs Plade,3,1,1929-08-14,3,0,0,0
Stepas Chmelevskis,3,3,1930-08-17,1,2,0,1
Eugen Einman,4,3,1930-08-16,2,2,0,0
Aleksandrs Priede,1,1,1929-08-15,1,0,0,0
Eduard Ellman-Eelma,6,5,1935-08-22,5,1,0,0
Ricardas Rutkauskas,1,1,1929-08-16,0,1,0,0
Aurelio González,7,4,1937-01-09,6,1,0,0
Diógenes Domínguez,3,3,1929-11-16,2,1,0,0
Carlos Peucelle,4,3,1930-07-30,3,1,0,0
