playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
Awad Koka,1,1,1969-10-03,1,0,0,0
Samuel Opone,1,1,1969-10-03,0,1,0,0
Ahmed Bushara Wahba,2,2,1972-02-29,1,1,0,0
Tom McColl,4,4,1969-11-23,1,3,0,0
Masashi Watanabe,1,1,1969-10-10,1,0,0,0
Aritatsu Ogi,1,1,1969-10-10,0,1,1,0
Ray Baartz,5,5,1973-11-10,2,3,0,0
Josy Kirchens,1,1,1969-10-10,1,0,0,0
Bronisław Bula,2,2,1971-09-22,1,1,0,0
Kim Ki-bok,1,1,1969-10-12,1,0,0,0
Teruki Miyamoto,2,2,1969-10-16,0,2,0,0
Park Soo-Il,2,2,1969-10-20,2,0,0,0
Yasuyuki Kuwahara,1,1,1969-10-12,0,1,0,0
Johnny Watkiss,2,2,1969-12-14,1,1,0,0
Lee Yi-woo,1,1,1969-10-14,1,0,0,0
Giorgos Koudas,2,2,1973-01-17,2,0,0,0
Bent Jensen,1,1,1969-10-15,0,1,0,1
Vladimir Muntyan,3,2,1975-10-12,2,1,0,0
Givi Nodia,2,2,1969-10-22,2,0,0,0
Manuel Velázquez,2,2,1975-04-17,2,0,0,0
Joaquín Sierra,1,1,1969-10-15,1,0,0,0
Jeong Gang-Ji,2,1,1969-10-18,2,0,0,0
Rudolf Belin,1,1,1969-10-19,1,0,0,0
Metodije Spasovski,2,1,1969-10-19,2,0,0,0
Jimmy Johnstone,1,1,1969-10-22,0,1,0,0
Klaus Fichtel,1,1,1969-10-22,1,0,0,0
Reinhard Libuda,2,2,1970-06-07,1,1,0,0
Lajos Szűcs,2,2,1971-10-27,2,0,0,0
Wietse Veenstra,1,1,1969-10-22,1,0,0,0
David Powell,1,1,1969-10-22,1,0,0,0
Jean-Claude Bras,2,1,1969-11-01,2,0,0,0
Jean Djorkaeff,1,1,1969-11-01,1,0,0,1
Zoltán Halmosi,1,1,1969-11-05,1,0,0,0
Lajos Puskás,1,1,1969-11-05,1,0,0,0
Lajos Kocsis,7,7,1972-10-15,4,3,0,2
Emerich Dembrovschi,5,5,1972-10-29,3,2,0,0
Mimis Domazos,2,2,1973-01-17,1,1,0,0
Kakhi Asatiani,3,2,1970-06-06,0,3,0,0
Ender Konca,1,1,1969-11-16,1,0,0,0
Vitaliy Khmelnytskyi,2,2,1970-06-06,0,2,0,0
Álvaro Cascante,2,2,1969-11-27,2,0,0,0
Edward Dawkins,1,1,1969-11-23,1,0,1,0
Bobby Chalmers,2,2,1969-11-29,2,0,0,0
Jaime Grant,2,2,1969-11-30,2,0,0,0
Ismael Croes,1,1,1969-11-27,0,1,0,0
Tomás Gamboa,1,1,1969-11-27,1,0,0,0
Marco Fión,2,2,1969-12-02,1,1,0,0
Francisco Mancilla,1,1,1969-11-27,1,0,0,0
Alfonso Sabater,1,1,1969-11-27,1,0,0,0
Carlos Regales,2,2,1969-12-06,0,2,0,0
Daniel Salamanca,2,1,1969-11-29,2,0,0,0
Rolando Valdez,1,1,1969-11-29,1,0,0,0
Edgar Meulens,1,1,1969-11-29,1,0,1,0
Johnny Warren,1,1,1969-11-29,0,1,0,0
Phillemon Tegire,1,1,1969-11-29,0,1,1,0
Willie Rutherford,1,1,1969-11-29,0,1,0,0
Delroy Scott,1,1,1969-11-30,1,0,0,0
Joshua Hamilton,1,1,1969-11-30,1,0,0,0
Everald Cummings,3,2,1973-12-14,0,3,0,0
Keith Douglas,1,1,1969-11-30,0,1,0,0
Ulrich Haynes,2,2,1969-12-02,0,2,0,0
Melvin Loefstok,2,1,1969-12-02,2,0,0,0
Martijn,2,2,1969-12-06,1,1,0,0
František Veselý,3,3,1976-06-16,3,0,0,0
Víctor Ruiz,8,5,2001-06-20,6,2,0,2
Wálter Elizondo,1,1,1969-12-04,1,0,0,1
David Zeman,1,1,1969-12-04,1,0,1,0
Adelbert Toppenberg,3,2,1973-12-05,0,3,0,0
José Álvarez Crespo,1,1,1969-12-04,1,0,0,0
Leopoldo Barba,1,1,1969-12-04,1,0,0,0
David Largie,1,1,1969-12-06,1,0,0,0
Marco Antonio Fión,1,1,1969-12-07,0,1,0,0
Vicente Wanchope,1,1,1969-12-07,1,0,0,0
Paul Philipp,3,3,1975-10-15,2,1,0,2
Emmanuel Koum,2,1,1970-02-06,2,0,0,0
Paul-Gaston N'Dongo,5,5,1973-02-25,4,1,0,0
Omar Ali Hasab El-Rasoul,4,4,1972-02-25,4,0,0,0
Kwasi Owusu,8,5,1973-02-10,2,6,0,1
Ali Abo Greisha,7,6,1974-03-11,6,1,0,0
Soriba Soumah,4,4,1974-03-07,1,3,0,4
Taha Basry,4,4,1976-03-03,4,0,0,0
Jean-Marie Tsébo,2,2,1970-02-10,1,1,0,0
Jean Manga Onguéné,4,4,1980-10-12,2,2,0,0
François Tahi,1,1,1970-02-08,0,1,0,0
Petit Sory,3,3,1976-03-03,1,2,0,0
André Kalonzo,1,1,1970-02-09,1,0,0,0
Sayed Abdel Razek,2,2,1972-12-08,2,0,0,0
Diomandé Losseni,2,2,1970-02-14,0,2,0,0
Ousmane Thiam Tollo,2,2,1977-02-27,1,1,0,1
Malik Jabir,1,1,1970-02-14,1,0,0,0
Muhamad El-Basheer El-Asyad,2,1,1970-02-14,2,0,0,0
Ildo Maneiro,1,1,1970-06-02,0,1,0,0
Juan Mujica,1,1,1970-06-02,0,1,0,0
Wilfried Van Moer,5,4,1979-10-17,4,1,0,0
Raoul Lambert,13,11,1977-09-03,11,2,0,5
Ladislav Petráš,5,5,1976-10-13,3,2,0,0
Alexandru Neagu,3,3,1972-05-17,1,2,0,0
Asparuh Nikodimov,1,1,1970-06-07,1,0,0,0
Todor Kolev,1,1,1970-06-07,1,0,0,0
Juan Ignacio Basaguren,1,1,1970-06-07,1,0,0,0
Dobromir Zhechev,1,1,1970-06-11,1,0,0,0
Maouhoub Ghazouani,2,2,1972-12-03,0,2,0,0
Allan Clarke,3,3,1973-10-17,2,1,0,3
Gustavo Peña,1,1,1970-06-11,1,0,0,1
Alan Mullery,1,1,1970-06-14,1,0,0,0
Javier Guzmán,3,2,1977-10-22,2,1,1,0
Víctor Espárrago,1,1,1970-06-14,0,1,0,0
Clodoaldo,1,1,1970-06-17,1,0,0,0
Roberto Boninsegna,6,6,1974-11-20,2,4,0,0
Karl-Heinz Schnellinger,1,1,1970-06-17,1,0,0,0
Tarcisio Burgnich,1,1,1970-06-17,0,1,0,0
Gérson,1,1,1970-06-21,1,0,0,0
Carlos Alberto Torres,1,1,1970-06-21,1,0,0,0
Milan Albrecht,1,1,1970-10-07,1,0,0,0
Matti Paatelainen,3,3,1976-06-13,1,2,0,0
László Nagy,4,3,1977-10-29,1,3,0,0
Geir Karlsen,1,1,1970-10-07,0,1,1,0
Willie Vassallo,1,1,1970-10-11,1,0,0,0
Michalis Kritikopoulos,1,1,1970-10-11,0,1,0,0
Radu Nunweiller,2,2,1972-09-20,1,1,0,0
Robert Gadocha,7,7,1975-09-10,7,0,0,0
Tommy Carroll,1,1,1970-10-14,1,0,0,1
Dan Brzokoupil,1,1,1970-10-14,0,1,0,0
Kamuran Yavuz,1,1,1970-10-17,0,1,0,0
Giancarlo De Sisti,3,3,1971-11-20,2,1,0,1
Thomas Parits,5,3,1972-06-10,5,0,0,0
Louis Floch,1,1,1970-11-11,1,0,0,0
Michel Mézy,1,1,1970-11-11,1,0,0,0
John O'Hare,3,3,1971-11-10,3,0,0,0
Carles Rexach,2,2,1971-05-30,1,1,0,0
Luis Aragonés,1,1,1970-11-11,1,0,0,0
Tsvetan Atanasov,1,1,1970-11-15,1,0,0,0
Tor Fuglset,1,1,1970-11-15,0,1,0,0
Viktor Kolotov,8,7,1975-05-18,6,2,0,2
Gennady Yevryuzhikhin,3,2,1971-06-07,2,1,0,0
Nikos Charalambous,1,1,1970-11-15,1,0,0,0
Vitaliy Shevchenko,2,2,1971-05-30,1,1,0,0
Metin Kurt,1,1,1970-12-13,1,0,0,0
Astrit Ziu,1,1,1970-12-13,0,1,0,0
Cemil Turan,7,5,1977-11-27,5,2,0,1
Kurt Müller,3,3,1975-05-10,1,2,0,0
André De Nul,1,1,1971-02-17,1,0,0,0
Willi Lippens,1,1,1971-02-24,1,0,0,0
Jurica Jerković,2,2,1981-11-29,1,1,0,0
Martin Chivers,5,4,1971-12-01,3,2,0,0
Francis Lee,3,3,1972-04-29,3,0,0,0
Pat Stanton,1,1,1971-04-21,1,0,1,0
Roland Citherlet,1,1,1971-04-21,1,0,0,0
Ján Čapkovič,4,3,1971-11-14,0,4,0,0
Vladimír Táborský,1,1,1971-04-21,0,1,0,0
Gilbert Dussier,5,4,1975-10-19,3,2,0,1
Horst Köppel,1,1,1971-04-25,0,1,0,0
José Luis Violeta,1,1,1971-05-09,0,1,0,0
Zoran Filipović,2,2,1977-11-13,0,2,0,0
Jimmy Conway,1,1,1971-05-10,1,0,0,0
Jan Banaś,1,1,1971-05-12,0,1,0,0
Medin Zhega,1,1,1971-05-12,1,0,0,0
Chris Lawler,1,1,1971-05-12,1,0,0,0
Rui Rodrigues,3,3,1975-11-19,2,1,0,0
Vítor Baptista,2,1,1971-05-12,2,0,0,0
Erik Sandvad,1,1,1971-05-12,1,0,1,0
Bozhil Kolev,5,5,1975-04-27,4,1,0,1
Petko Petkov,1,1,1971-05-19,1,0,0,0
Stefan Velichkov,1,1,1971-05-19,1,0,0,0
Jan Olsson,1,1,1971-05-26,1,0,0,0
Johann Schmidradner,1,1,1971-05-30,0,1,0,1
Karl Kodat,1,1,1971-05-30,0,1,0,0
Tony Dunne,2,2,1974-11-20,1,1,2,0
Vladimir Fedotov,3,2,1972-10-18,2,1,0,0
Stefanis Michael,2,2,1976-05-23,1,1,0,0
Finn Laudrup,2,2,1972-10-18,2,0,0,0
Mladen Vasilev,1,1,1971-06-09,0,1,0,0
Günter Netzer,2,2,1972-04-29,1,1,0,1
Jürgen Grabowski,3,3,1974-06-30,2,1,0,0
Jaroslav Pollák,1,1,1971-06-16,0,1,0,0
František Karkó,2,1,1971-06-16,0,2,0,0
Kostas Davourlis,1,1,1971-06-18,1,0,0,0
Kostas Aidiniou,1,1,1971-06-18,1,0,0,0
Josef Stering,3,2,1977-04-30,3,0,0,0
Jacques Vergnes,1,1,1971-09-08,0,1,0,0
Bernard Blanchet,2,2,1971-12-04,0,2,0,0
Anghel Iordănescu,7,7,1980-10-15,4,3,0,2
Nicolae Lupescu,2,2,1971-11-24,1,1,0,0
Nihat Yayöz,1,1,1971-09-22,0,1,0,0
Volodymyr Muntyan,1,1,1971-09-22,1,0,0,0
Péter Juhász,1,1,1971-09-25,1,0,0,0
Csaba Vidáts,2,2,1973-06-13,2,0,0,0
Jacky Novi,1,1,1971-10-09,0,1,1,0
Kurt Jara,10,9,1981-05-28,6,4,0,0
Hans Pirkner,2,2,1977-04-30,2,0,0,1
Barry Hulshoff,3,3,1973-09-12,2,1,0,0
Archie Gemmill,6,5,1980-03-26,4,2,0,3
Daniel Jeandupeux,1,1,1971-10-13,1,0,0,0
Anton Weibel,1,1,1971-10-13,0,1,1,0
Gil Reece,2,2,1975-05-01,1,1,0,0
Mike Summerbee,1,1,1971-11-10,1,0,0,0
Ilir Përnaska,3,2,1980-10-19,2,1,0,0
Oeki Hoekema,1,1,1971-11-17,1,0,0,0
Alfonso Estupiñán,1,1,1971-11-20,0,1,0,0
Robert Sara,1,1,1971-11-20,0,1,0,0
Anthony Douglas,2,2,1971-12-05,2,0,0,0
Miguel Ángel Matamoros,1,1,1971-11-21,0,1,0,1
Francisco Piedra,1,1,1971-11-23,1,0,0,0
Andrés Roldán,1,1,1971-11-23,1,0,0,0
José Verdecia,1,1,1971-11-23,1,0,0,0
Jorge Brand,1,1,1971-11-23,0,1,0,0
Quino Sierra,2,1,1971-11-24,2,0,0,0
Francisco Javier Aguilar García,1,1,1971-11-24,1,0,0,0
Enrique Lora,1,1,1971-11-24,1,0,0,0
José Francisco Rojo,2,2,1972-02-16,1,1,0,0
José Alfredo Jiménez,1,1,1971-11-26,0,1,0,0
Roberto Rodríguez,3,3,1971-12-02,0,3,0,2
Hernán Morales,1,1,1971-11-27,1,0,0,0
Oscar Hernandez,1,1,1971-11-27,0,1,0,0
Wilfred Cave,2,2,1971-11-30,2,0,0,0
Pierre Bayonne,4,3,1977-10-12,1,3,0,0
Emmanuel Sanon,10,8,1977-10-16,6,4,0,0
Leintz Domingue,3,3,1977-10-23,1,2,0,1
Ramon Moraldo,1,1,1971-11-28,0,1,1,0
Claude Barthelemy,1,1,1971-11-28,0,1,0,0
Clibert Lennard,1,1,1971-11-30,1,0,0,0
José Luis Elejalde,1,1,1971-11-30,0,1,0,0
Dagoberto Lara,1,1,1971-11-30,0,1,0,0
Arnulfo Echeverría,1,1,1971-12-01,0,1,0,0
Jean-Claude Desir,1,1,1971-12-01,1,0,0,0
Atanas Mihaylov,2,2,1972-11-19,1,1,0,0
Octavio Muciño,6,2,1973-12-08,4,2,0,0
Emilio Valle,1,1,1971-12-05,0,1,0,0
Aubert Philips,1,1,1971-12-05,1,0,0,0
Steve David,8,6,1973-12-17,1,7,0,0
Sammy Morgan,3,3,1975-10-29,3,0,0,0
Jean-Baptiste N'Doga,2,2,1972-03-04,2,0,0,0
Jonathan Niva,1,1,1972-02-23,0,1,0,0
Bakary Traoré,1,1,1972-02-24,1,0,0,0
Edmond Apéti Kaolo,3,2,1972-02-28,0,3,0,1
Fantamady Keita,5,4,1972-03-02,3,2,0,0
Bako Touré,2,2,1972-03-02,2,0,0,0
Covi Adé,1,1,1972-02-24,0,1,0,0
Paul Moukila,2,2,1974-03-03,2,0,0,0
Mayanga Maku,7,6,1974-03-07,0,7,0,0
Joseph Yegba Maya,1,1,1972-02-26,1,0,0,0
Simo Emmanuel Mvé,1,1,1972-02-26,1,0,0,0
Daniel Arudhi Nicodémus,1,1,1972-02-26,1,0,0,0
Jean Kalala N'Tumba,7,5,1973-08-19,3,4,0,0
Bushara Abdel-Nadief,1,1,1972-02-27,0,1,0,0
François N'Doumbé,1,1,1972-02-28,1,0,0,0
Peter Ouma,2,2,1973-08-19,2,0,0,0
Jean-Michel M'Bono,6,4,1974-03-05,5,1,0,0
François M'Pelé,3,3,1974-03-09,3,0,0,0
Kamal Abdel Wahab,1,1,1972-02-29,0,1,0,0
Jonas Bahamboula,2,2,1977-02-13,1,1,0,0
Noël Birindi Minga,2,2,1974-03-05,1,1,0,0
Adama Traoré,5,4,2021-10-07,5,0,0,0
Kakoko Etepé,7,7,1974-03-07,3,4,0,0
Gary Ngassebe,1,1,1972-03-02,0,1,0,0
Jean-Paul Akono,1,1,1972-03-04,1,0,0,1
Philippe Michel Mouthé,1,1,1972-03-04,1,0,0,0
Moussa Diakhité,1,1,1972-03-05,0,1,0,0
Moussa Traoré,2,2,1996-01-25,0,2,0,0
Maxime Camara,1,1,1972-03-12,1,0,0,0
Rabah Gamouh,2,2,1980-12-28,0,2,0,0
Chérif Souleymane,4,4,1977-02-13,3,1,0,0
Smith Samuel,1,1,1972-03-12,1,0,0,0
Humberto Coelho,3,2,1980-12-17,3,0,0,0
Nené,12,11,1984-06-20,6,6,0,0
Artur Jorge,1,1,1972-03-29,1,0,0,0
Rui Jordão,11,10,1984-11-14,7,4,0,1
Uli Hoeneß,3,3,1976-05-22,2,1,0,1
László Branikovits,2,2,1975-04-16,2,0,0,0
Lajos Sătmăreanu,1,1,1972-04-29,0,1,0,0
Josef Hickersberger,3,1,1972-04-30,3,0,0,0
Norbert Hof,1,1,1972-04-30,1,0,0,0
István Juhász,1,1,1972-05-06,1,0,0,0
Safar Iranpak,2,2,1972-05-16,2,0,0,0
Jawad Khalaf,1,1,1972-05-08,0,1,0,0
Fayez Marzouq,1,1,1972-05-08,0,1,0,0
Park Su-deok,1,1,1972-05-10,0,1,0,0
Lee Hoi-taek,1,1,1972-05-10,0,1,0,0
Cha Bum-kun,8,8,1977-11-05,4,4,0,1
Park Lee-chun,4,4,1972-05-19,1,3,0,1
Doeur Sokhom,3,3,1972-05-16,2,1,0,0
Chico Faria,1,1,1972-05-10,0,1,0,0
Ammo Yousif,1,1,1972-05-11,0,1,0,0
Supakit Meelarpkit,2,2,1973-05-16,1,1,1,0
Mohammad Sultan,1,1,1972-05-12,0,1,0,0
Ibrahim Al Duraihem,3,3,1977-03-17,0,3,0,1
Eduard Kozynkevych,1,1,1972-05-13,1,0,0,0
Prapon Tantariyanond,3,2,1972-05-17,3,0,0,0
Sok Sun Hean,1,1,1972-05-14,1,0,0,0
Tes Sean,1,1,1972-05-14,1,0,0,0
Sea Cheng Eang,1,1,1972-05-14,1,0,0,0
István Szőke,2,2,1972-05-17,1,1,0,0
Einar Gunnarsson,1,1,1972-05-18,1,0,1,0
Ich Narding,2,1,1972-05-19,2,0,0,0
Tol Kimchi,2,1,1972-05-19,0,2,0,0
Frans Janssens,1,1,1972-05-22,1,0,0,0
Jean Dockx,1,1,1972-05-22,1,0,0,0
Joseph Mapulanga,3,3,1974-03-09,2,1,0,0
Ramoseli Thietsi,1,1,1972-06-04,0,1,0,0
Freddie Mwila,3,1,1972-06-04,3,0,0,0
Peter Pumm,1,1,1972-06-10,1,0,0,0
Anatoliy Konkov,3,3,1977-04-24,2,1,0,0
Lajos Kű,1,1,1972-06-17,0,1,0,1
Joseph Ghartey,1,1,1972-06-18,0,1,0,0
Abukari Gariba,2,1,1972-06-18,0,2,0,0
Herbert Wimmer,2,2,1974-11-20,1,1,0,0
Kembo Uba Kembo,6,4,1973-12-09,6,0,0,0
Miikka Toivola,2,2,1979-10-17,1,1,0,0
Clifford Odame,1,1,1972-07-02,1,0,0,1
Damien Kamilou,1,1,1972-07-02,0,1,0,0
Daniel Anyanzwa,1,1,1972-07-16,1,0,0,0
William Ouma,6,4,1973-08-19,4,2,0,0
Ezzeldin Osman,1,1,1972-07-23,1,0,0,0
Jan Fuglset,1,1,1972-08-03,1,0,0,1
Tom Lund,8,7,1982-10-13,6,2,0,0
Harry Hestad,2,2,1973-09-12,2,0,0,0
Tor Egil Johansen,3,2,1973-08-02,1,2,0,0
Örn Óskarsson,1,1,1972-08-03,0,1,0,0
Kenneth Olayombo,2,2,1973-02-10,2,0,0,0
Yakubu Mambo,2,2,1973-02-10,2,0,0,0
Sunday Oyarekhua,1,1,1972-08-15,0,1,0,0
Noël Minga,1,1,1972-08-15,1,0,0,0
Olavi Rissanen,3,2,1976-09-22,3,0,0,0
Léon Dolmans,2,2,1973-10-31,1,1,0,2
Jürgen Sparwasser,7,6,1977-10-29,4,3,0,0
Joachim Streich,25,19,1983-11-16,16,9,0,2
Giorgio Chinaglia,2,2,1975-06-05,0,2,0,1
Fabio Capello,3,3,1975-11-22,1,2,0,0
Georges Bereta,1,1,1972-10-13,1,0,0,0
Franz Hasil,1,1,1972-10-15,1,0,0,1
Mama Ouattara,2,2,1972-10-29,1,1,0,0
Ralf Edström,9,6,1975-06-04,7,2,0,0
Roland Sandberg,8,7,1975-08-13,4,4,0,0
Dag Szepanski,1,1,1972-10-15,1,0,0,1
Lou Macari,1,1,1972-10-18,0,1,0,0
Jimmy Bone,1,1,1972-10-18,0,1,0,0
Joe Harper,2,2,1975-09-03,0,2,0,0
Willie Morgan,1,1,1972-10-18,0,1,0,0
Terry Conroy,2,2,1972-11-15,2,0,0,0
Dušan Bajević,6,3,1974-06-18,3,3,0,0
Nico Braun,5,5,1979-10-23,4,1,0,1
Noël Kouamé,2,2,1973-02-11,1,1,0,0
Johan Neeskens,12,9,1976-04-25,7,5,0,5
Theo de Jong,2,2,1974-06-23,1,1,0,0
Willy Brokamp,5,3,1973-08-29,5,0,0,0
Jean-Michel Larqué,1,1,1972-11-15,0,1,0,0
Kenny Dalglish,14,12,1984-11-14,8,6,0,0
Peter Lorimer,2,2,1974-06-14,1,1,0,0
Colin Bell,3,2,1974-10-30,2,1,0,0
Jovan Aćimović,1,1,1972-11-18,1,0,0,0
Georgi Denev,6,5,1975-06-11,5,1,0,0
Helmut Köglberger,2,2,1975-03-16,0,2,0,0
Charles Spiteri,1,1,1972-11-25,0,1,1,0
Tekeste Gebremedhin,1,1,1972-11-25,0,1,0,0
Nassoro Mashoto,1,1,1972-11-25,1,0,0,0
Louis Gomis Diop,1,1,1972-12-03,1,0,0,0
Moustapha Choukri,3,3,1973-06-03,1,2,0,0
Ali Khalil,3,3,1974-03-06,3,0,0,0
Tariku Ingdawerk,3,2,1973-04-15,2,1,0,0
Seyoum Tesfaye,2,2,1976-02-29,2,0,0,0
Daniel Imbert,4,4,1974-03-07,2,2,0,0
John Shore,1,1,1972-12-10,0,1,0,0
Osman Arpacıoğlu,2,1,1972-12-10,2,0,0,0
Köksal Mesçi,1,1,1972-12-10,1,0,0,1
Anwar Jackaria,1,1,1972-12-17,0,1,0,0
Mohieddine Habita,2,2,1973-02-11,2,0,0,1
Rubén Óscar Valdez,2,1,1973-01-17,0,2,0,0
José Claramunt,3,3,1974-09-25,1,2,0,1
Kokos Antoniou,1,1,1973-02-14,1,0,0,0
Erroll Bennett,5,5,1980-03-01,0,5,0,0
Alexis Tumahai,1,1,1973-02-17,0,1,0,0
Roger Mandin,1,1,1973-02-17,1,0,0,0
Brian Turner,11,7,1981-12-19,5,6,0,1
Dave Taylor,3,3,1977-03-20,3,0,0,0
Geoff Brand,1,1,1973-02-17,1,0,0,0
Malcolm Bland,2,2,1973-02-23,2,0,0,0
Alan Vest,4,4,1973-03-16,2,2,0,0
Terio Vakatawa,1,1,1973-02-17,0,1,0,0
Jean Hmae,2,1,1973-02-18,2,0,0,0
Segin Wayewol,3,2,1973-02-20,1,2,0,0
Pierre Wacapo,1,1,1973-02-18,1,0,0,0
Michael Dupuy,1,1,1973-02-18,0,1,0,0
Alick Saurei,1,1,1973-02-21,0,1,0,0
Jacky Valette,1,1,1973-02-21,0,1,0,0
Josateki Kurivitu,1,1,1973-02-21,1,0,0,0
Alan Marley,3,3,1973-02-24,3,0,0,0
Colin Latimour,1,1,1973-02-21,1,0,0,0
Jean Xowie,3,3,1980-03-01,2,1,0,0
Antonis Antoniadis,4,4,1975-06-04,2,2,0,1
Juan Cruz Sol,1,1,1973-02-21,1,0,0,0
Roberto Juan Martínez,2,2,1974-09-25,1,1,0,0
Claude Carrara,1,1,1973-02-23,0,1,0,0
Harold Ng Fok,1,1,1973-02-23,0,1,0,0
Gilles Malinowski,1,1,1973-02-23,0,1,0,0
Roland de Marigny,1,1,1973-02-23,0,1,0,0
Brian Hardman,1,1,1973-02-23,1,0,0,0
Raymond Valette,1,1,1973-02-23,0,1,0,0
Gerald Delmas,1,1,1973-02-24,1,0,0,0
Charles Galinie,1,1,1973-02-24,0,1,0,0
Abdesselam Adhouma,1,1,1973-02-25,0,1,0,0
Bernard N'Guessan,2,1,1973-02-25,2,0,0,1
Kamunda Tshinabu,1,1,1973-02-27,1,0,0,1
Ernie Campbell,2,2,1973-03-13,1,1,0,0
Ray Richards,2,2,1973-03-24,2,0,0,0
Adrian Alston,4,3,1973-08-18,4,0,0,0
Riyadh Nouri,2,2,1973-03-21,1,1,0,0
Sarman Panggabean,2,2,1973-03-21,1,1,0,0
Iswadi Idris,3,3,1977-03-09,0,3,0,0
Bashar Rashid,1,1,1973-03-13,1,0,0,0
Sabah Hatim,4,2,1973-03-24,4,0,0,0
Doug Utjesenovic,1,1,1973-03-16,1,0,0,0
Branko Buljevic,2,2,1973-11-10,1,1,0,0
Dennis Tindall,1,1,1973-03-16,0,1,0,0
Bobby Hogg,1,1,1973-03-16,0,1,1,0
Ali Kadhim,2,2,1973-03-24,2,0,0,0
Maurice Tillotson,1,1,1973-03-18,1,0,1,0
Douglas Aziz,1,1,1973-03-21,1,0,0,1
Salah Obeid,1,1,1973-03-21,1,0,0,0
Anjas Asmara,2,2,1977-03-09,0,2,0,0
Jimmy Mackay,3,2,1973-11-13,3,0,0,0
Attila Abonyi,6,5,1977-10-30,4,2,0,1
Martin O'Neill,5,5,1984-09-12,4,1,0,0
Leighton James,7,4,1980-10-15,5,2,0,2
Trevor Hockey,1,1,1973-03-28,1,0,0,0
Burton Mugala,1,1,1973-04-15,1,0,0,0
Boniface Simutowe,1,1,1973-04-15,1,0,0,1
Moses Simwala,3,3,1973-10-21,2,1,0,0
Kassahun Teka,1,1,1973-04-15,0,1,0,1
Sándor Zámbó,2,2,1973-06-13,2,0,0,0
László Bálint,5,5,1981-10-31,3,2,1,0
Hugo Sotil,4,3,1977-03-26,3,1,0,0
Ole Bjørnmose,1,1,1973-05-02,1,0,0,0
Joseph Chahrestan,3,3,1973-05-11,2,1,0,0
Nabil Nano,1,1,1973-05-04,1,0,0,0
Ion Dumitru,2,2,1973-10-14,1,1,0,0
Teodor Țarălungă,1,1,1973-05-06,0,1,0,0
Sabah Bizi,1,1,1973-05-06,1,0,0,0
Gholam Vafakhah,1,1,1973-05-06,1,0,0,0
Ali Parvin,3,3,1977-01-28,2,1,0,0
Fathi Kameel,7,6,1981-12-14,3,4,0,0
Kim Jong-Min,1,1,1973-05-06,1,0,0,0
Akbar Kargarjam,1,1,1973-05-08,1,0,0,0
Trevor Anderson,3,2,1978-10-25,3,0,0,0
Mehdi Monajati,1,1,1973-05-11,1,0,0,0
Pak Sung-Jin,1,1,1973-05-11,0,1,0,0
Mohammad Sadeghi,1,1,1973-05-11,1,0,0,0
Samir Said,2,2,2001-05-07,2,0,0,0
Julio Crisosto,2,2,1975-07-17,2,0,0,0
Sergio Ahumada,4,4,1977-03-06,4,0,0,0
Ali Djabari,1,1,1973-05-13,1,0,0,0
An Se-Uk,1,1,1973-05-13,1,0,0,0
Ma Jung-U,2,1,1973-05-13,2,0,0,0
Volodymyr Onyshchenko,2,2,1973-05-26,2,0,0,0
Abdulghani Tatiche,1,1,1973-05-15,0,1,0,0
Hamad Khalid Bo Hamad,4,3,1977-10-02,0,4,0,0
Moshe Onana,5,4,1973-05-26,5,0,0,0
Shusaku Hirasawa,1,1,1973-05-16,0,1,0,0
Lo Hung-Hoi,1,1,1973-05-17,1,0,0,0
Serge Chiesa,1,1,1973-05-19,1,0,0,0
Mick Martin,4,4,1982-11-17,2,2,1,0
Zvi Farkash,1,1,1973-05-19,1,0,0,0
Itzhak Shum,2,2,1973-05-21,2,0,0,0
Kim Jae-han,5,4,1977-12-04,5,0,0,0
Chung Kyu-Poong,3,2,1973-05-26,3,0,0,0
Hassan Amcharrat,3,3,1978-03-09,1,2,0,0
Kobenan Kouman,7,6,1980-03-15,6,1,0,0
Kunishige Kamamoto,2,1,1973-05-20,0,2,0,0
Koji Mori,1,1,1973-05-20,0,1,0,0
Nguyễn Vinh Quang,1,1,1973-05-20,0,1,1,0
George Borba,1,1,1973-05-21,1,0,0,0
Zvi Rozen,2,1,1973-05-21,2,0,0,0
Kwok Ka-ming,4,4,1977-12-04,1,3,0,0
Shaharuddin Abdullah,1,1,1973-05-23,0,1,0,0
Harun Jusoh,1,1,1973-05-23,0,1,0,0
Yuen Kuen-Chu,2,2,1973-05-26,1,1,0,0
Oleg Blokhin,14,13,1986-10-29,10,4,0,0
Park Yi-Chun,1,1,1973-05-26,1,0,0,0
Zdeněk Nehoda,16,14,1981-05-27,11,5,0,1
Bohumil Veselý,3,1,1973-06-02,3,0,0,0
Přemysl Bičovský,5,4,1983-03-27,3,2,0,0
Chérif Fetoui,2,2,1976-03-01,2,0,0,0
Jarmo Manninen,1,1,1973-06-06,1,0,0,0
Mihály Kozma,1,1,1973-06-13,1,0,0,0
Willington Ortiz,7,7,1985-11-03,3,4,0,0
Ítalo Estupiñán,1,1,1973-07-01,1,0,0,0
Fernando Morena,6,5,1983-09-04,5,1,0,3
Denís Milar,2,2,1979-09-26,2,0,0,1
Per Pettersen,1,1,1973-08-02,0,1,0,0
